"","id","SmlK","MedK","LrgK","MeanK","logMeanK","COVID_DoG_index","logCOVID_DoG_index","traveling_index","socialgatherings_index","Norms_index","FamilyNorm_index","FriendsNorm_index","StrangerNorm_index","GCS_index","IUS_Sum","Measure2_liberal_Index","Measure2_cons_Index","Measure2_liberterian_Index","harm_foundation","fairness_foundation","ingroup_foundation","authority_foundation","purity_foundation","Stress_index","COVIDDanger_ContFears_index","COVID_econ_fears_index","COVID_xenophobia","COVID_checking","COVID_traumatic_stress","Impacts_index","SDRS_Sum_scaled","Duration..in.seconds.","Age","Gender","Race","Education","Occupation","Nationality","Ethnicity","MaritalStatus"
"1",1,0.000158128,0.000158278,0.000158278,0.000158228,-8.75147352714136,130.333333333333,4.87009527131726,40.6666666666667,220,3.77777777777778,4.33333333333333,3.66666666666667,3.33333333333333,3.16666666666667,38,1,3,1,3,3.66666666666667,3.16666666666667,3,2.66666666666667,2.91666666666667,3.16666666666667,3,2.83333333333333,2.75,3,4.11111111111111,60,383,39,2,5,6,"business","usa",2,2
"2",2,0.025565085,0.009740465,0.00978133,0.01502896,-4.19777627255478,64.6666666666667,4.16924587039522,12.3333333333333,117,2.55555555555556,3,3.66666666666667,1,5,37,1,5,1,6,5.16666666666667,5.5,5.83333333333333,5.66666666666667,2.08333333333333,2.66666666666667,2.83333333333333,2.16666666666667,1.83333333333333,1.16666666666667,2.33333333333333,60,722,69,2,5,4,"technical editor","united states",2,3
"3",3,0.001583251,0.001588988,0.001599001,0.00159041333333333,-6.44376133846196,154,5.03695260241363,44.6666666666667,263.333333333333,1,1,1,1,4.16666666666667,44,1,4,1,5.16666666666667,5,4.66666666666667,4.83333333333333,4.5,1.83333333333333,2.33333333333333,1.83333333333333,1.66666666666667,2,1.16666666666667,3.22222222222222,68,1093,44,1,2,6,"researcher","China",2,2
"4",4,0.003859499,0.001588988,0.001599001,0.00234916266666667,-6.05369632637703,571.666666666667,6.34855607093193,413.333333333333,730,2.66666666666667,2,2,4,5.16666666666667,17,5,1,1,5.66666666666667,5,2.5,3.16666666666667,3.16666666666667,1.77777777777778,3.33333333333333,1,1.33333333333333,1.75,1.5,3.44444444444444,68,554,39,1,5,4,"Freelancer","USA",2,1
"5",5,0.065125822,0.025225065,0.025796554,0.0387158136666667,-3.25150714053189,470,6.1527326947041,730,210,4,4,4,4,4.5,26,4,1,3,4.5,5.16666666666667,2.66666666666667,2.66666666666667,2.5,1.36111111111111,1.83333333333333,1,1,1.66666666666667,1,4,48,1077,41,1,5,5,"IT analyst","American",2,1
"6",6,0.025565085,0.001588988,0.001599001,0.009584358,-4.64762288438348,105.166666666667,4.65554639331316,90.3333333333333,120,3.33333333333333,4,4,2,2.83333333333333,31,1,1,1,3.5,4.83333333333333,3.16666666666667,3.5,3,1.11111111111111,1.33333333333333,1,1,1.16666666666667,1,2.88888888888889,60,493,39,1,5,5,"assembler","US",2,1
"7",7,0.065125822,0.063690167,0.064947206,0.0645877316666667,-2.7397307985099,220,5.39362754635236,210,230,2.33333333333333,1,1,5,2.83333333333333,60,5,1,1,5.33333333333333,5.66666666666667,2.5,3.5,4.16666666666667,2.61111111111111,5,1,1,2.91666666666667,2.83333333333333,3.44444444444444,32,482,32,1,5,3,"Warehousing","American",2,1
"8",8,0.246753247,0.25,0.248847926,0.248533724333333,-1.39217673105049,730,6.59304453414244,730,730,1.33333333333333,1,1,2,4.66666666666667,29,4,1,2,3.33333333333333,3.66666666666667,2.16666666666667,3.16666666666667,1.5,2.72222222222222,3,2,2.66666666666667,2.83333333333333,3,3.55555555555556,40,555,55,1,5,5,"researcher","usa",2,2
"9",9,0.065125822,0.063690167,0.064947206,0.0645877316666667,-2.7397307985099,739.166666666667,6.60552342551563,800,678.333333333333,1.33333333333333,1,1,2,3,47,2,1,1,5.16666666666667,5,3.33333333333333,2.83333333333333,2.33333333333333,2.52777777777778,4.33333333333333,1.83333333333333,1.83333333333333,2.5,2.16666666666667,3.22222222222222,44,387,38,1,5,6,"research technician","usa",2,1
"10",10,0.065125822,0.009740465,0.00978133,0.0282158723333333,-3.56787061067822,1,0,1,1,2,2,2,2,5.5,46,4,2,3,5.16666666666667,3.5,2.66666666666667,3.83333333333333,3.83333333333333,1.19444444444444,1,2.16666666666667,1,1,1,3.55555555555556,52,422,33,2,5,5,"educator","USA",2,1
"12",12,0.000632542,0.000158278,0.000251015,0.000347278333333333,-7.96538398618586,230,5.4380793089232,210,250,1,1,1,1,2,24,4,1,1,5.83333333333333,5.66666666666667,3.33333333333333,3.16666666666667,2.83333333333333,1.72222222222222,3,1,1,2.16666666666667,1,3,68,571,31,1,5,5,"store manager","united states",2,1
"13",13,0.000158128,0.000158278,0.000158278,0.000158228,-8.75147352714136,2920,7.97933889526233,2920,2920,3.66666666666667,4,3.66666666666667,3.33333333333333,4,32,3,3,3,3.66666666666667,4,3.16666666666667,3.66666666666667,3.66666666666667,2.91666666666667,2.66666666666667,3.16666666666667,3,2.83333333333333,3,4,52,365,45,1,5,3,"csr","usa",2,3
"14",14,0.000632542,0.000251282,0.000251015,0.000378279666666667,-7.87987677699884,165,5.10594547390058,120,210,2,2,2,2,3.83333333333333,18,2,1,1,4.16666666666667,4.5,1.83333333333333,1.83333333333333,1.66666666666667,1.27777777777778,1.66666666666667,1.16666666666667,1,1.41666666666667,1,2.88888888888889,68,547,48,2,5,5,"team leader, financial services","USA",2,3
"15",15,0.009704041,0.003905918,0.001599001,0.00506965333333333,-5.28448283978517,1,0,1,1,5,6,6,3,5,36,1,5,4,2.5,2.83333333333333,3.16666666666667,3.66666666666667,4.16666666666667,1.05555555555556,1,1.33333333333333,1,1,1,3,52,572,39,1,5,5,"Logistics","USA",2,2
"17",17,0.000251196,0.000251282,0.000251015,0.000251164333333333,-8.28940311858908,330,5.79909265446053,270,390,2.44444444444444,1.33333333333333,2,4,1.16666666666667,18,1,5,2,3.66666666666667,3.5,3.83333333333333,4.16666666666667,4.33333333333333,1.19444444444444,1.5,1,1,1.33333333333333,1,2.44444444444444,80,587,41,1,5,6,"business analyst","American",2,2
"18",18,0.065125822,0.025225065,0.00978133,0.0333774056666667,-3.39987608495923,556.666666666667,6.32196661674269,383.333333333333,730,2,1,1,4,3.5,54,5,1,1,5.33333333333333,5.33333333333333,2.33333333333333,3.66666666666667,1,1.88888888888889,3.83333333333333,1.33333333333333,1,2.08333333333333,1,3,64,629,26,1,5,3,"Unemployed","American",2,1
"19",19,0.159084963,0.063690167,0.064947206,0.0959074453333333,-2.34437166367946,17.5,2.86220088092947,22,13,3.11111111111111,4,4.33333333333333,1,3.16666666666667,22,2,2,1,4.83333333333333,5.16666666666667,3,4.33333333333333,2.33333333333333,1.13888888888889,1,1,1.5,1.16666666666667,1,2.77777777777778,32,691,47,2,5,5,"writer","American",2,1
